message,brand,true_intent,true_escalation,annotator_1,annotator_2,tie_breaker,notes
"Where's my order?",amazon,order_status,false,order_status,order_status,order_status,Clear intent - customer asking for tracking
"My package hasn't arrived after 2 weeks",amazon,shipping_delay,true,shipping_delay,shipping_delay,shipping_delay,Time-sensitive; needs urgent response
"I want a refund for this purchase",amazon,refund_request,true,refund_request,refund_request,refund_request,Financial request; requires human approval
"Your customer service is terrible",amazon,complaint,true,complaint,complaint,complaint,Anger indicator; escalate for empathy
"Can you help me track my package?",amazon,order_status,false,order_status,order_status,order_status,Straightforward tracking request
"This product is broken",amazon,product_quality,true,product_quality,product_quality,product_quality,Defect claim; may need replacement
"I was charged twice for my order",amazon,billing_issue,true,billing_issue,billing_issue,billing_issue,Financial discrepancy; requires verification
"How do I return this item?",amazon,return_request,false,return_request,return_request,return_request,Standard return process question
"My delivery is 5 days overdue",amazon,shipping_delay,true,shipping_delay,shipping_delay,shipping_delay,Significant delay; escalate
"Great job taking 3 weeks to ship",amazon,shipping_delay,true,shipping_delay,complaint,shipping_delay,Sarcasm detected - actually a complaint about delay
"Can I get a discount code?",amazon,discount_inquiry,false,discount_inquiry,discount_inquiry,discount_inquiry,Simple inquiry
"When will you restock this item?",amazon,general_inquiry,false,general_inquiry,general_inquiry,general_inquiry,Inventory question
"I can't log into my account",amazon,login_issue,true,login_issue,login_issue,login_issue,Account access problem
"Is this item still available?",amazon,general_inquiry,false,general_inquiry,general_inquiry,general_inquiry,Standard availability check
"My refund still hasn't arrived",amazon,refund_request,true,refund_request,refund_request,refund_request,Follow-up on refund status; escalate
"The quality of this product is poor",amazon,product_quality,true,product_quality,product_quality,product_quality,Quality complaint
"How long does shipping take?",amazon,general_inquiry,false,general_inquiry,general_inquiry,general_inquiry,Policy question
"I didn't receive my order and it says delivered",amazon,lost_package,true,lost_package,lost_package,lost_package,Critical issue; package disappeared
"Can you help with my payment error?",amazon,payment_failed,true,payment_failed,payment_failed,payment_failed,Technical payment issue
"My account is locked - help!",amazon,account_problem,true,account_problem,account_problem,account_problem,Urgent access issue
"Is my warranty still valid?",amazon,warranty_claim,false,warranty_claim,warranty_claim,warranty_claim,Warranty question
"Thanks for nothing",amazon,complaint,true,complaint,complaint,complaint,Sarcastic complaint; escalate
"When can I expect my delivery?",amazon,order_status,false,order_status,order_status,order_status,Delivery timeline inquiry
"I want to exchange this for a different size",amazon,return_request,false,return_request,return_request,return_request,Exchange request - standard process
"Why is my billing amount wrong?",amazon,billing_issue,true,billing_issue,billing_issue,billing_issue,Billing discrepancy
"Your support team never responds",amazon,complaint,true,complaint,complaint,complaint,Service complaint; escalate
"How do I track my return shipment?",amazon,return_request,false,return_request,return_request,return_request,Return tracking question
"This arrived damaged - I need a replacement",amazon,product_quality,true,product_quality,product_quality,product_quality,Damage claim; may need expedited replacement
"Can I cancel my order?",amazon,general_inquiry,false,general_inquiry,general_inquiry,general_inquiry,Order cancellation inquiry
"My credit card was declined - what do I do?",amazon,payment_failed,true,payment_failed,payment_failed,payment_failed,Payment processing issue
